"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\DialerApp.kt", "Kotlin", 0, 9, 2, 1, 12
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\AccessibilityScreen.kt", "Kotlin", 0, 129, 4, 8, 141
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\CallingScreen.kt", "Kotlin", 0, 130, 5, 7, 142
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\DisplayScreen.kt", "Kotlin", 0, 91, 5, 6, 102
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\RingtonesScreen.kt", "Kotlin", 0, 107, 7, 6, 120
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, -60, 3, -2, -59
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\ToolsScreen.kt", "Kotlin", 0, 77, 5, 4, 86
"d:\code\accessible_dialer\app\src\main\res\values-ar\strings.xml", "XML", 2, 0, 0, 0, 2
"d:\code\accessible_dialer\app\src\main\res\values-de\strings.xml", "XML", 2, 0, 0, 0, 2
"d:\code\accessible_dialer\app\src\main\res\values-es\strings.xml", "XML", 2, 0, 0, 0, 2
"d:\code\accessible_dialer\app\src\main\res\values-fr\strings.xml", "XML", 2, 0, 0, 0, 2
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 2, 0, 0, 0, 2
"Total", "-", 10, 483, 31, 30, 554
