"filename", "language", "Kotlinscript", "Properties", "XML", "Kotlin", "Markdown", "Batch", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\Ringer.kt", "Kotlin", 0, 0, 0, 156, 0, 0, 53, 15, 224
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\settings\SettingsRepository.kt", "Kotlin", 0, 0, 0, 248, 0, 0, 87, 50, 385
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\DialerApp.kt", "Kotlin", 0, 0, 0, 560, 0, 0, 137, 27, 724
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\blocking\BlockedNumbersScreen.kt", "Kotlin", 0, 0, 0, 181, 0, 0, 0, 9, 190
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactDetailsScreen.kt", "Kotlin", 0, 0, 0, 1387, 0, 0, 103, 66, 1556
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactEditorScreen.kt", "Kotlin", 0, 0, 0, 974, 0, 0, 97, 47, 1118
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactPickerDialog.kt", "Kotlin", 0, 0, 0, 143, 0, 0, 8, 4, 155
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactsScreen.kt", "Kotlin", 0, 0, 0, 791, 0, 0, 96, 25, 912
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactsViewModel.kt", "Kotlin", 0, 0, 0, 160, 0, 0, 19, 13, 192
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\DuplicateDismissals.kt", "Kotlin", 0, 0, 0, 20, 0, 0, 6, 6, 32
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\DuplicateScanScreen.kt", "Kotlin", 0, 0, 0, 573, 0, 0, 38, 27, 638
