"filename", "language", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\BlockingScreen.kt", "Kotlin", 116, 5, 6, 127
"Total", "-", 116, 5, 6, 127
