"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\DialerApp.kt", "Kotlin", 0, 13, 9, 1, 23
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsViewModel.kt", "Kotlin", 0, 9, 6, 1, 16
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, 7, 2, 0, 9
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\storage\StorageLocationsScreen.kt", "Kotlin", 0, 408, 35, 20, 463
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactAccounts.kt", "Kotlin", 0, 207, 83, 15, 305
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 20, 0, 2, 0, 22
"Total", "-", 20, 644, 137, 37, 838
