"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\AndroidManifest.xml", "XML", 3, 0, 6, 1, 10
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, 114, 15, 1, 130
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\UpdateChecker.kt", "Kotlin", 0, 84, 41, 8, 133
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\Updater.kt", "Kotlin", 0, 90, 38, 7, 135
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 18, 0, 1, 0, 19
"Total", "-", 21, 288, 101, 17, 427
