"filename", "language", "Kotlinscript", "Markdown", "XML", "Properties", "PowerShell", "Batch", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\DialerPermissions.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 18, 5, 5, 28
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\PhoneAccounts.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 41, 15, 6, 62
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\RowActions.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 68, 21, 8, 97
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ShakeDetector.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 53, 19, 10, 82
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\voice\VoiceSearch.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 131, 46, 22, 199
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\voice\VoiceSearchSheet.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 162, 26, 9, 197
"d:\code\accessible_dialer\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\values-ar\strings.xml", "XML", 0, 0, 128, 0, 0, 0, 0, 11, 13, 152
"d:\code\accessible_dialer\app\src\main\res\values-de\strings.xml", "XML", 0, 0, 128, 0, 0, 0, 0, 0, 13, 141
"d:\code\accessible_dialer\app\src\main\res\values-es\strings.xml", "XML", 0, 0, 128, 0, 0, 0, 0, 0, 13, 141
"d:\code\accessible_dialer\app\src\main\res\values-fr\strings.xml", "XML", 0, 0, 128, 0, 0, 0, 0, 10, 13, 151
"d:\code\accessible_dialer\app\src\main\res\values\colors.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 0, 0, 493, 0, 0, 0, 0, 27, 34, 554
"d:\code\accessible_dialer\app\src\main\res\values\themes.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 1, 1, 10
"d:\code\accessible_dialer\build.gradle.kts", "Kotlinscript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle.properties", "Properties", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\code\accessible_dialer\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 41, 0, 30, 22, 93
"d:\code\accessible_dialer\scripts\run-and-tail.ps1", "PowerShell", 0, 0, 0, 0, 22, 0, 0, 2, 5, 29
"d:\code\accessible_dialer\settings.gradle.kts", "Kotlinscript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\code\accessible_dialer\ui.xml", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 91, 62, 1133, 11, 22, 41, 11510, 1746, 879, 15495
