"filename", "language", "Kotlinscript", "Properties", "Markdown", "XML", "PowerShell", "Batch", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactEditorScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 970, 91, 47, 1108
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactPickerDialog.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 143, 8, 4, 155
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 636, 68, 20, 724
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactsViewModel.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 160, 19, 13, 192
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\DuplicateDismissals.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 20, 6, 6, 32
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\DuplicateScanScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 573, 38, 27, 638
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\NameFixScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 912, 86, 65, 1063
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\NameNormalizeScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 574, 136, 30, 740
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\dialpad\DialpadScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 615, 117, 28, 760
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\favorites\FavoritesScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 60, 0, 6, 66
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\help\UserGuideScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 106, 8, 7, 121
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 556, 82, 19, 657
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsViewModel.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 424, 157, 25, 606
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\AccessibilityScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 145, 4, 8, 157
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\BlockingScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 116, 5, 6, 127
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\CallingScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 130, 5, 7, 142
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\DisplayScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 91, 5, 6, 102
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\RingtonesScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 107, 7, 6, 120
