"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\MainActivity.kt", "Kotlin", 0, 43, 6, 2, 51
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\DialerApp.kt", "Kotlin", 0, -12, 3, 0, -9
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, 212, 5, 8, 225
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 27, 0, 3, 3, 33
"Total", "-", 27, 243, 17, 13, 300
