"filename", "language", "Kotlinscript", "Markdown", "Properties", "XML", "PowerShell", "Kotlin", "Batch", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 397, 0, 0, 0, 16, 25, 438
"d:\code\accessible_dialer\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"d:\code\accessible_dialer\build.gradle.kts", "Kotlinscript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle.properties", "Properties", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\code\accessible_dialer\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 41, 30, 22, 93
"d:\code\accessible_dialer\scripts\run-and-tail.ps1", "PowerShell", 0, 0, 0, 0, 22, 0, 0, 2, 5, 29
"d:\code\accessible_dialer\settings.gradle.kts", "Kotlinscript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\code\accessible_dialer\ui.xml", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 69, 62, 11, 519, 22, 8823, 41, 1016, 658, 11221
