"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\DialerApp.kt", "Kotlin", 0, 1, 0, 0, 1
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactsScreen.kt", "Kotlin", 0, 100, 6, 2, 108
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsViewModel.kt", "Kotlin", 0, -6, 5, 0, -1
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactOps.kt", "Kotlin", 0, 31, 6, 1, 38
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 3, 0, 0, 0, 3
"Total", "-", 3, 126, 17, 3, 149
