"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\help\UserGuideScreen.kt", "Kotlin", 0, 106, 8, 7, 121
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, 10, 0, 1, 11
"d:\code\accessible_dialer\app\src\main\res\values-ar\strings.xml", "XML", 29, 0, 1, 13, 43
"d:\code\accessible_dialer\app\src\main\res\values-de\strings.xml", "XML", 29, 0, 1, 13, 43
"d:\code\accessible_dialer\app\src\main\res\values-es\strings.xml", "XML", 29, 0, 1, 13, 43
"d:\code\accessible_dialer\app\src\main\res\values-fr\strings.xml", "XML", 29, 0, 1, 13, 43
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 29, 0, 1, 13, 43
"Total", "-", 145, 116, 13, 73, 347
