"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\blocking\BlockingCallScreeningService.kt", "Kotlin", 0, -2, 12, 0, 10
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\DialerInCallService.kt", "Kotlin", 0, 9, 12, 2, 23
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\InCallActivity.kt", "Kotlin", 0, 25, 13, 1, 39
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\InCallScreen.kt", "Kotlin", 0, 3, 7, 0, 10
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\DialerApp.kt", "Kotlin", 0, 22, 6, 1, 29
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\contacts\ContactDetailsScreen.kt", "Kotlin", 0, 9, 5, 0, 14
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsScreen.kt", "Kotlin", 0, 6, 4, 0, 10
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsViewModel.kt", "Kotlin", 0, 6, 7, 1, 14
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, 3, 0, 1, 4
"d:\code\accessible_dialer\app\src\main\res\values-ar\strings.xml", "XML", 4, 0, 0, 0, 4
"d:\code\accessible_dialer\app\src\main\res\values-de\strings.xml", "XML", 4, 0, 0, 0, 4
"d:\code\accessible_dialer\app\src\main\res\values-es\strings.xml", "XML", 4, 0, 0, 0, 4
"d:\code\accessible_dialer\app\src\main\res\values-fr\strings.xml", "XML", 4, 0, 0, 0, 4
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 2, 0, 0, 0, 2
"Total", "-", 18, 81, 66, 6, 171
