"filename", "language", "Kotlinscript", "Markdown", "Properties", "XML", "Batch", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\favorites\FavoritesScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 60, 0, 6, 66
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\help\UserGuideScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 106, 8, 7, 121
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 588, 100, 20, 708
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsViewModel.kt", "Kotlin", 0, 0, 0, 0, 0, 418, 162, 25, 605
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\AccessibilityScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 145, 4, 8, 157
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\BlockingScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 116, 5, 6, 127
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\CallingScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 130, 5, 7, 142
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\DisplayScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 91, 5, 6, 102
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\RingtonesScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 107, 7, 6, 120
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 714, 54, 22, 790
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\ToolsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 228, 24, 8, 260
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\storage\StorageLocationsScreen.kt", "Kotlin", 0, 0, 0, 0, 0, 411, 41, 20, 472
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\theme\Theme.kt", "Kotlin", 0, 0, 0, 0, 0, 58, 3, 6, 67
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\theme\Type.kt", "Kotlin", 0, 0, 0, 0, 0, 15, 1, 3, 19
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactAccounts.kt", "Kotlin", 0, 0, 0, 0, 0, 253, 119, 20, 392
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactOps.kt", "Kotlin", 0, 0, 0, 0, 0, 331, 65, 22, 418
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ContactPorting.kt", "Kotlin", 0, 0, 0, 0, 0, 170, 31, 19, 220
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\DefaultDialer.kt", "Kotlin", 0, 0, 0, 0, 0, 19, 8, 5, 32
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\DialerPermissions.kt", "Kotlin", 0, 0, 0, 0, 0, 18, 5, 5, 28
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\PhoneAccounts.kt", "Kotlin", 0, 0, 0, 0, 0, 41, 15, 6, 62
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\RowActions.kt", "Kotlin", 0, 0, 0, 0, 0, 68, 21, 8, 97
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\ShakeDetector.kt", "Kotlin", 0, 0, 0, 0, 0, 53, 19, 10, 82
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\UpdateChecker.kt", "Kotlin", 0, 0, 0, 0, 0, 72, 42, 8, 122
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\util\Updater.kt", "Kotlin", 0, 0, 0, 0, 0, 90, 38, 7, 135
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\voice\VoiceSearch.kt", "Kotlin", 0, 0, 0, 0, 0, 131, 46, 22, 199
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\voice\VoiceSearchSheet.kt", "Kotlin", 0, 0, 0, 0, 0, 162, 26, 9, 197
"d:\code\accessible_dialer\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\values-ar\strings.xml", "XML", 0, 0, 0, 168, 0, 0, 13, 27, 208
"d:\code\accessible_dialer\app\src\main\res\values-de\strings.xml", "XML", 0, 0, 0, 172, 0, 0, 2, 27, 201
"d:\code\accessible_dialer\app\src\main\res\values-es\strings.xml", "XML", 0, 0, 0, 168, 0, 0, 2, 27, 197
"d:\code\accessible_dialer\app\src\main\res\values-fr\strings.xml", "XML", 0, 0, 0, 168, 0, 0, 12, 27, 207
"d:\code\accessible_dialer\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 575, 0, 0, 31, 49, 655
"d:\code\accessible_dialer\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 8, 0, 0, 1, 1, 10
"d:\code\accessible_dialer\build.gradle.kts", "Kotlinscript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle.properties", "Properties", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\code\accessible_dialer\gradlew.bat", "Batch", 0, 0, 0, 0, 41, 0, 30, 22, 93
"d:\code\accessible_dialer\settings.gradle.kts", "Kotlinscript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\code\accessible_dialer\ui.xml", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"Total", "-", 91, 147, 11, 1388, 41, 13588, 2456, 1101, 18823
