"filename", "language", "XML", "Kotlin", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\MainActivity.kt", "Kotlin", 0, 30, 12, 1, 43
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\DialerInCallService.kt", "Kotlin", 0, 158, 88, 12, 258
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\InCallActivity.kt", "Kotlin", 0, 1, 8, 1, 10
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\InCallScreen.kt", "Kotlin", 0, 14, 3, 0, 17
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\MissedCallNotifier.kt", "Kotlin", 0, 123, 46, 20, 189
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\ProximitySpeakerController.kt", "Kotlin", 0, 44, 13, 8, 65
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\call\RingVolumeKeyInterceptor.kt", "Kotlin", 0, 57, 19, 7, 83
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\settings\SettingsRepository.kt", "Kotlin", 0, 16, 4, 4, 24
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\DialerApp.kt", "Kotlin", 0, 47, 3, 5, 55
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\blocking\BlockedNumbersScreen.kt", "Kotlin", 0, -58, 0, -2, -60
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsScreen.kt", "Kotlin", 0, 0, 3, 0, 3
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\recents\RecentsViewModel.kt", "Kotlin", 0, 66, 19, 1, 86
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\AccessibilityScreen.kt", "Kotlin", 0, 16, 0, 0, 16
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\SettingsScreen.kt", "Kotlin", 0, -260, -29, -14, -303
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\ui\settings\ToolsScreen.kt", "Kotlin", 0, 62, 6, 2, 70
"d:\code\accessible_dialer\app\src\main\res\values-ar\strings.xml", "XML", 5, 0, 1, 1, 7
"d:\code\accessible_dialer\app\src\main\res\values-de\strings.xml", "XML", 9, 0, 1, 1, 11
"d:\code\accessible_dialer\app\src\main\res\values-es\strings.xml", "XML", 5, 0, 1, 1, 7
"d:\code\accessible_dialer\app\src\main\res\values-fr\strings.xml", "XML", 5, 0, 1, 1, 7
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 16, 0, 2, 2, 20
"Total", "-", 40, 316, 201, 51, 608
